        64,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |6         |240       |0         |0         |0         |0         |22.5      |0         |0         
        65,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |0         |240       |0         |0         |0         |0         |25.0      |0         |0         
        66,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |66        |234       |0         |0         |0         |0         |0         |0         |0         
        67,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |60        |234       |0         |0         |0         |0         |2.5       |0         |0         
        68,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |54        |234       |0         |0         |0         |0         |5.0       |0         |0         
        69,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |48        |234       |0         |0         |0         |0         |7.5       |0         |0         
        70,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |42        |234       |0         |0         |0         |0         |10.0      |0         |0         
        71,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |36        |234       |0         |0         |0         |0         |12.5      |0         |0         
        72,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |30        |234       |0         |0         |0         |0         |15.0      |0         |0         
        73,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |24        |234       |0         |0         |0         |0         |17.5      |0         |0         
        74,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |18        |234       |0         |0         |0         |0         |20.0      |0         |0         
        75,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |12        |234       |0         |0         |0         |0         |22.5      |0         |0         
        76,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |6         |234       |0         |0         |0         |0         |25.0      |0         |0         
        77,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |0         |234       |0         |0         |0         |0         |27.5      |0         |0         
        78,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |72        |228       |0         |0         |0         |0         |0         |0         |0         
        79,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |66        |228       |0         |0         |0         |0         |2.5       |0         |0         
        80,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |60        |228       |0         |0         |0         |0         |5.0       |0         |0         
        81,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |54        |228       |0         |0         |0         |0         |7.5       |0         |0         
        82,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |48        |228       |0         |0         |0         |0         |10.0      |0         |0         
